a=28,b=82,c=52,d=90
phi,theta,alpha,torque
78, 64.3342089037743,26.6095404933340,1.45139910151297
79, 64.9663398578425,27.4906198865760,1.45494191722608
80, 56.5078151862066,22.8150782586127,1.58828559833244
81, 66.1977301654271,29.2540775211014,1.46499084161008
82, 66.7983758112483,30.1341549163117,1.47152575821986
83, 67.4829806500721,31.0875254691509,1.47820701702719
84, 68.0389910526801,31.9401894439627,1.48714056738716
85, 68.6389545093437,32.8303473639231,1.49671497071056
86, 69.2335574037963,33.7142695143087,1.50746017217232
87, 69.8663347429701,34.6333030749348,1.51912137134591
88, 70.4605515086331,35.5056890230028,1.53237106702558
89, 71.0595500641987,36.3694636582457,1.54696547630676
90, 71.5576196544437,37.0852735528133,1.56355595548944
91, 72.1630599442758,37.8981715086863,1.58109467203096
92, 72.8000717023812,38.7140915457605,1.60023195202048
93, 73.3066251027196,39.2780712794654,1.62149229182763
94, 73.8692899945895,39.8327903466929,1.64434304056592
95, 74.4859608969501,40.3604025395361,1.66904217680935
96, 75.0793554781105,40.6959890498006,1.69561666509759
97, 69.8962102761295,32.0005435383880,1.72008179819109
98, 76.1957623590962,40.5188799555082,1.75310165741153
99, 76.8328115550546,40.0497112314098,1.78381918277050
100, 77.3103564074148,38.6944635927740,1.81258293742723
101, 77.8654305899666,36.7184287715446,1.83995543766149
102, 78.4533244824513,33.6475757997160,1.86305143801352
